Row Labels,Count of delta,Average of delta2,3 year smooth
19,1,0.027,0.016
20,5,0.041,0.016
21,10,0.049,0.016
22,33,-0.041,0.016
23,63,0.012,0.007
24,102,0.009,-0.007
25,123,-0.002,0.006
26,141,-0.005,0.001
27,126,-0.026,-0.011
28,126,-0.003,-0.011
29,117,-0.005,-0.011
30,94,-0.044,-0.017
31,86,-0.012,-0.021
32,70,0.012,-0.015
33,45,-0.027,-0.009
34,34,-0.009,-0.008
35,19,-0.044,-0.027
36,13,0.015,-0.013
37,8,-0.05025,-0.027
38,6,-0.062666667,-0.033
39,2,-0.038,-0.033
40,1,-0.168,-0.033
41,1,0.17,-0.033
,591,#DIV/0!,
(blank),,,
Grand Total,1817,-0.00940783,
